chid,alt,x1,x2,x3,s1,s2,e1,e2,o1,dist,LC,utility,match,flag
2077,0,8,5,1.5,s11,s21,e12,e21,o11,3.43,3,-1.546983921,1,tr
2077,1,5,16,2,s11,s21,e12,e21,o11,3.43,3,-2.170277057,0,tr
2078,0,12,6,2,s11,s21,e12,e21,o13,4.69,3,-2.308737089,0,tr
2078,1,7,11,2,s11,s21,e12,e21,o13,4.69,3,-1.55683216,1,tr
2079,0,11,5,1.5,s11,s21,e11,e21,o12,8.18,3,-1.818343575,0,tr
2079,1,12,15,2.75,s11,s21,e11,e21,o12,8.18,3,-1.797586902,1,tr
2080,0,46,4,2,s11,s21,e12,e22,o11,29.18,3,-5.415342305,1,ts
2080,1,44,15,5.75,s11,s21,e12,e22,o11,29.18,3,-5.961171297,0,ts
2081,0,12,6,2,s12,s21,e12,e22,o13,5.12,1,-2.497171652,0,tr
2081,1,7,15,2.75,s12,s21,e12,e22,o13,5.12,1,-2.249615423,1,tr
2082,0,8,6,1.5,s12,s21,e13,e23,o11,5.19,2,-2.238838217,1,tr
2082,1,7,16,2.75,s12,s21,e13,e23,o11,5.19,2,-4.395400666,0,tr
2083,0,14,4,1.5,s11,s23,e12,e22,o11,8.22,2,-2.449483337,1,tr
2083,1,12,11,2.75,s11,s23,e12,e22,o11,8.22,2,-3.256412215,0,tr
2084,0,19,5,1.5,s11,s21,e12,e23,o12,9.39,3,-2.574161941,1,tr
2084,1,14,14,2.75,s11,s21,e12,e23,o12,9.39,3,-2.585407314,0,tr
2085,0,12,5,1.5,s12,s21,e11,e22,o13,6.84,1,-2.579366645,0,tr
2085,1,11,14,2.75,s12,s21,e11,e22,o13,6.84,1,-1.415202323,1,tr
2086,0,5,5,2,s12,s21,e12,e22,o12,2.11,1,-1.281159199,1,tr
2086,1,3,17,2,s12,s21,e12,e22,o12,2.11,1,-1.8235443,0,tr
2087,0,10,6,2,s11,s23,e11,e21,o13,4.54,2,-2.574992492,1,tr
2087,1,6,15,2,s11,s23,e11,e21,o13,4.54,2,-2.796664744,0,tr
2088,0,9,4,1.5,s12,s21,e12,e21,o13,4.03,1,-1.902076766,1,tr
2088,1,6,17,2,s12,s21,e12,e21,o13,4.03,1,-2.457439047,0,tr
2089,0,5,6,1.5,s12,s21,e11,e22,o13,2.19,2,-2.015645737,1,tr
2089,1,3,15,2,s12,s21,e11,e22,o13,2.19,2,-2.118266116,0,tr
2090,0,5,6,1.5,s12,s21,e11,e22,o11,2.21,1,-1.743458003,0,tr
2090,1,3,16,2,s12,s21,e11,e22,o11,2.21,1,-0.979708224,1,tr
2091,0,12,5,1.5,s12,s21,e11,e22,o13,6.74,1,-2.290160036,0,tr
2091,1,10,14,2.75,s12,s21,e11,e22,o13,6.74,1,-1.455004875,1,tr
2092,0,35,5,1.5,s12,s21,e11,e22,o13,14.36,1,-5.194447481,0,ts
2092,1,24,15,3.5,s12,s21,e11,e22,o13,14.36,1,-3.315992717,1,ts
2093,0,4,8,1.5,s12,s21,e11,e22,o13,2.11,1,-1.95983713,0,tr
2093,1,3,16,2,s12,s21,e11,e22,o13,2.11,1,-0.843080304,1,tr
2094,0,8,4,1.5,s11,s21,e12,e23,o12,3.16,3,-1.403897903,1,tr
2094,1,6,17,2,s11,s21,e12,e23,o12,3.16,3,-2.154845174,0,tr
2095,0,8,6,1.5,s11,s21,e12,e21,o11,4.82,3,-1.732349002,1,tr
2095,1,6,16,2,s11,s21,e12,e21,o11,4.82,3,-2.29263629,0,tr
2096,0,14,5,2,s12,s21,e11,e22,o14,6.93,1,-2.529049654,0,tr
2096,1,11,14,2.75,s12,s21,e11,e22,o14,6.93,1,-1.604842739,1,tr
2097,0,12,6,1.5,s12,s21,e12,e21,o12,6.47,1,-2.753361308,0,tr
2097,1,11,15,2.75,s12,s21,e12,e21,o12,6.47,1,-2.443005231,1,tr
2098,0,19,5,2,s12,s21,e11,e22,o12,8.09,1,-3.246412378,0,tr
2098,1,12,13,2.75,s12,s21,e11,e22,o12,8.09,1,-1.825863204,1,tr
2099,0,5,7,1.5,s11,s21,e11,e22,o12,2.43,3,-1.76406026,0,ts
2099,1,4,15,2,s11,s21,e11,e22,o12,2.43,3,-0.922070236,1,ts
2100,0,15,4,1.5,s12,s21,e11,e22,o13,7.4,1,-2.531582653,0,tr
2100,1,11,13,2.75,s12,s21,e11,e22,o13,7.4,1,-1.552070991,1,tr
2101,0,14,5,1.5,s12,s21,e12,e22,o13,6.78,1,-2.845438391,1,tr
2101,1,10,17,2.75,s12,s21,e12,e22,o13,6.78,1,-2.858167297,0,tr
2102,0,6,4,1.5,s12,s21,e12,e21,o12,2.14,1,-1.313821079,1,tr
2102,1,3,17,2,s12,s21,e12,e21,o12,2.14,1,-1.869834021,0,tr
2103,0,6,4,1.5,s11,s23,e11,e21,o14,4.12,2,-1.571488393,1,tr
2103,1,5,13,2,s11,s23,e11,e21,o14,4.12,2,-2.128399494,0,tr
2104,0,20,4,1.5,s11,s21,e11,e22,o13,9.36,3,-2.737932382,0,tr
2104,1,14,16,2.75,s11,s21,e11,e22,o13,9.36,3,-2.525129075,1,tr
2105,0,11,4,2,s12,s21,e11,e21,o12,5.04,1,-2.191997562,0,tr
2105,1,7,14,2.75,s12,s21,e11,e21,o12,5.04,1,-1.385207526,1,tr
2106,0,16,4,2,s12,s21,e12,e22,o11,9.94,1,-2.660573768,1,tr
2106,1,16,15,2.75,s12,s21,e12,e22,o11,9.94,1,-3.236970979,0,tr
2107,0,21,6,1.5,s13,s21,e12,e22,o12,10.16,3,-3.244883144,0,tr
2107,1,14,18,3.5,s13,s21,e12,e22,o12,10.16,3,-3.143399378,1,tr
2108,0,22,3,1.5,s12,s21,e11,e22,o13,7.66,1,-3.265180608,0,tr
2108,1,11,13,2.75,s12,s21,e11,e22,o13,7.66,1,-1.588215086,1,tr
2109,0,18,5,1.5,s11,s21,e11,e22,o14,8.45,3,-2.933990341,0,ts
2109,1,15,20,2.75,s11,s21,e11,e22,o14,8.45,3,-2.547680905,1,ts
2110,0,9,6,1.5,s11,s21,e12,e22,o12,3.83,3,-1.936445851,1,tr
2110,1,5,16,2,s11,s21,e12,e22,o12,3.83,3,-1.937142003,0,tr
2111,0,22,5,1.5,s12,s21,e12,e22,o13,9.55,1,-3.648623036,0,tr
2111,1,13,15,2.75,s12,s21,e12,e22,o13,9.55,1,-2.871288044,1,tr
2112,0,7,5,1.5,s11,s23,e12,e22,o12,3.53,1,-1.954324464,1,tr
2112,1,5,17,2,s11,s23,e12,e22,o12,3.53,1,-2.407830344,0,tr
2113,0,7,6,1.5,s12,s21,e12,e21,o13,3.98,1,-1.899719266,0,tr
2113,1,6,11,2,s12,s21,e12,e21,o13,3.98,1,-1.537469682,1,tr
2114,0,3,5,1.5,s11,s21,e11,e21,o11,3.15,3,-1.248002408,0,tr
2114,1,5,15,2,s11,s21,e11,e21,o11,3.15,3,-0.957724296,1,tr
2115,0,5,3,1.5,s12,s21,e12,e22,o13,2.41,1,-1.217963868,1,tr
2115,1,3,13,2,s12,s21,e12,e22,o13,2.41,1,-1.31470845,0,tr
2116,0,10,5,2,s12,s23,e11,e22,o12,4.5,1,-2.012679991,0,tr
2116,1,7,19,2,s12,s23,e11,e22,o12,4.5,1,-1.989010895,1,tr
2117,0,6,4,2,s11,s22,e11,e21,o12,4.79,2,-1.241869518,1,tr
2117,1,8,17,2,s11,s22,e11,e21,o12,4.79,2,-3.554971681,0,tr
2118,0,4,5,1.5,s11,s22,e13,e22,o11,2.02,2,-1.709113955,1,tr
2118,1,3,14,2,s11,s22,e13,e22,o11,2.02,2,-3.565518696,0,tr
2119,0,11,4,1.5,s12,s23,e11,e22,o13,5.97,1,-2.141097708,0,tr
2119,1,9,13,2.75,s12,s23,e11,e22,o13,5.97,1,-1.572556428,1,tr
2120,0,8,6,1.5,s11,s21,e11,e23,o12,4.31,3,-1.860688706,0,tr
2120,1,7,11,2,s11,s21,e11,e23,o12,4.31,3,-0.559446498,1,tr
2121,0,8,3,1.5,s11,s21,e12,e22,o12,3.6,3,-1.243246956,1,ts
2121,1,5,10,2,s11,s21,e12,e22,o12,3.6,3,-1.258235256,0,ts
2122,0,38,4,1.5,s11,s21,e11,e23,o13,22.2,3,-4.188738943,1,tr
2122,1,35,18,5,s11,s21,e11,e23,o13,22.2,3,-4.46755159,0,tr
2123,0,6,3,1.5,s11,s21,e11,e23,o13,3.66,3,-0.833402224,1,tr
2123,1,6,16,2,s11,s21,e11,e23,o13,3.66,3,-1.175497896,0,tr
2124,0,13,6,1.5,s11,s23,e11,e21,o14,6.5,2,-2.65820257,1,tr
2124,1,10,14,2.75,s11,s23,e11,e21,o14,6.5,2,-3.077758854,0,tr
2125,0,18,6,1.5,s11,s21,e11,e22,o12,8.97,3,-2.701317381,0,ts
2125,1,14,14,2.75,s11,s21,e11,e22,o12,8.97,3,-1.921169293,1,ts
2126,0,6,5,2,s11,s21,e11,e21,o11,3.07,2,-1.890006405,1,ts
2126,1,5,16,2,s11,s21,e11,e21,o11,3.07,2,-3.044869914,0,ts
2127,0,5,6,1.5,s11,s21,e12,e21,o13,3.24,3,-1.473614826,1,tr
2127,1,6,13,2,s11,s21,e12,e21,o13,3.24,3,-1.861307527,0,tr
2128,0,3,3,1.5,s13,s23,e11,e21,o14,2.03,3,-0.792910366,1,tr
2128,1,3,18,2,s13,s23,e11,e21,o14,2.03,3,-1.250401155,0,tr
2129,0,28,6,1.5,s11,s22,e11,e22,o12,13.19,2,-4.689081868,0,tr
2129,1,20,15,3.5,s11,s22,e11,e22,o12,13.19,2,-3.961074063,1,tr
2130,0,6,5,1.5,s11,s21,e11,e22,o13,2.57,3,-1.415726656,0,tr
2130,1,4,15,2,s11,s21,e11,e22,o13,2.57,3,-1.083683555,1,tr
2131,0,12,5,1.5,s11,s21,e13,e22,o13,6.49,3,-1.916212922,1,ts
2131,1,9,16,2.75,s11,s21,e13,e22,o13,6.49,3,-2.805891734,0,ts
2132,0,4,6,1.5,s11,s21,e12,e22,o14,2.27,3,-1.306223925,1,ts
2132,1,3,15,2,s11,s21,e12,e22,o14,2.27,3,-1.634314239,0,ts
2133,0,7,5,1.5,s11,s21,e11,e22,o13,4.76,3,-1.513906515,1,ts
2133,1,8,19,2,s11,s21,e11,e22,o13,4.76,3,-1.826926431,0,ts
2134,0,6,6,2,s11,s21,e12,e23,o12,3.57,3,-1.793666828,0,tr
2134,1,6,14,2,s11,s21,e12,e23,o12,3.57,3,-1.628683395,1,tr
2135,0,10,4,2,s11,s21,e11,e21,o13,4.76,3,-1.618690128,0,tr
2135,1,7,16,2,s11,s21,e11,e21,o13,4.76,3,-1.290103598,1,tr
2136,0,7,3,2,s12,s21,e12,e21,o14,4.01,1,-1.38398702,1,tr
2136,1,5,17,2,s12,s21,e12,e21,o14,4.01,1,-2.235306328,0,tr
2137,0,20,5,1.5,s12,s21,e11,e22,o12,8.55,1,-3.282585278,0,tr
2137,1,11,12,2.75,s12,s21,e11,e22,o12,8.55,1,-1.663716354,1,tr
2138,0,17,5,2,s12,s21,e12,e23,o13,8.76,1,-2.817263787,0,tr
2138,1,14,13,2.75,s12,s21,e12,e23,o13,8.76,1,-2.156501509,1,tr
2139,0,8,5,1.5,s13,s21,e11,e22,o12,3.36,3,-1.464399907,0,tr
2139,1,5,12,2,s13,s21,e11,e22,o12,3.36,3,-0.408580823,1,tr
2140,0,4,5,1.5,s11,s21,e11,e22,o13,2.35,3,-1.037625591,0,tr
2140,1,3,13,2,s11,s21,e11,e22,o13,2.35,3,-0.702350099,1,tr
2141,0,37,4,1.5,s12,s21,e12,e21,o13,18.06,1,-5.460872273,0,tr
2141,1,26,14,4.25,s12,s21,e12,e21,o13,18.06,1,-4.624685555,1,tr
2142,0,16,6,2,s12,s21,e13,e21,o12,6,1,-3.089984041,0,tr
2142,1,8,15,2.75,s12,s21,e13,e21,o12,6,1,-2.686404285,1,tr
2143,0,14,6,1.5,s11,s21,e11,e22,o13,6.32,3,-2.284397846,0,tr
2143,1,10,14,2.75,s11,s21,e11,e22,o13,6.32,3,-1.452082143,1,tr
2144,0,13,7,1.5,s12,s21,e13,e22,o12,7.56,1,-2.634008284,1,tr
2144,1,11,16,2.75,s12,s21,e13,e22,o12,7.56,1,-2.913252861,0,tr
2145,0,14,5,1.5,s12,s21,e13,e22,o11,8.03,1,-2.939024584,1,tr
2145,1,11,19,2.75,s12,s21,e13,e22,o11,8.03,1,-3.472735028,0,tr
2146,0,7,4,2,s11,s22,e12,e21,o11,5.94,2,-1.896188057,1,tr
2146,1,9,15,2.75,s11,s22,e12,e21,o11,5.94,2,-4.087975157,0,tr
2147,0,7,4,1.5,s12,s21,e12,e21,o13,4.38,1,-1.564045566,1,tr
2147,1,7,12,2,s12,s21,e12,e21,o13,4.38,1,-1.798174322,0,tr
2148,0,5,5,1.5,s12,s21,e12,e21,o12,2.16,1,-1.256221042,1,tr
2148,1,3,15,2,s12,s21,e12,e21,o12,2.16,1,-1.675317978,0,tr
2149,0,15,5,1.5,s12,s21,e12,e23,o13,6.8,1,-2.90494679,0,tr
2149,1,10,14,2.75,s12,s21,e12,e23,o13,6.8,1,-2.257391027,1,tr
2150,0,6,7,1.5,s12,s21,e12,e23,o13,3.23,1,-1.654727644,1,tr
2150,1,5,16,2,s12,s21,e12,e23,o13,3.23,1,-1.809292094,0,tr
2151,0,20,4,1.5,s12,s21,e13,e22,o12,11.95,1,-3.476084721,1,tr
2151,1,19,16,3.5,s12,s21,e13,e22,o12,11.95,1,-4.217843134,0,tr
2152,0,6,4,1.5,s12,s21,e11,e22,o13,5.38,1,-1.543938827,1,ts
2152,1,8,18,2.75,s12,s21,e11,e22,o13,5.38,1,-1.639259871,0,ts
2153,0,8,6,1.5,s11,s21,e11,e22,o13,4.89,3,-1.617263332,0,tr
2153,1,7,16,2,s11,s21,e11,e22,o13,4.89,3,-1.374990154,1,tr
2154,0,5,4,2,s12,s21,e11,e22,o12,2.38,1,-1.17813532,0,tr
2154,1,3,14,2,s12,s21,e11,e22,o12,2.38,1,-0.56201896,1,tr
2155,0,8,4,1.5,s12,s21,e11,e22,o11,3.61,1,-1.776401242,0,tr
2155,1,5,17,2,s12,s21,e11,e22,o11,3.61,1,-1.123687677,1,tr
2156,0,9,4,1.5,s11,s21,e12,e21,o12,4.82,3,-1.548893495,1,ts
2156,1,7,18,2,s11,s21,e12,e21,o12,4.82,3,-2.512732174,0,ts
2157,0,4,7,1.5,s11,s21,e11,e22,o13,2.65,1,-1.617963616,0,tr
2157,1,4,10,2,s11,s21,e11,e22,o13,2.65,1,-0.224928756,1,tr
2158,0,13,6,2,s13,s21,e13,e22,o11,4.96,3,-2.267104315,0,tr
2158,1,7,14,2,s13,s21,e13,e22,o11,4.96,3,-2.125662555,1,tr
2159,0,5,5,2,s12,s21,e11,e22,o12,2.3,1,-1.632991368,0,tr
2159,1,4,18,2,s12,s21,e11,e22,o12,2.3,1,-1.593922928,1,tr
2160,0,19,6,1.5,s12,s21,e13,e21,o11,7.76,1,-3.173683234,1,tr
2160,1,12,19,2.75,s12,s21,e13,e21,o11,7.76,1,-3.813902565,0,tr
2161,0,4,4,1.5,s12,s21,e13,e23,o11,2.84,1,-1.297496264,1,ts
2161,1,5,16,2,s12,s21,e13,e23,o11,2.84,1,-2.315535401,0,ts
2162,0,5,3,1.5,s11,s22,e13,e22,o11,2.25,1,-1.211432058,1,tr
2162,1,3,16,2,s11,s22,e13,e22,o11,2.25,1,-2.079872087,0,tr
2163,0,6,3,1.5,s12,s23,e11,e21,o12,2.76,1,-1.224778459,0,tr
2163,1,4,12,2,s12,s23,e11,e21,o12,2.76,1,-0.924300925,1,tr
2164,0,5,4,1.5,s11,s21,e11,e22,o14,3.18,3,-1.416869483,0,ts
2164,1,5,14,2,s11,s21,e11,e22,o14,3.18,3,-0.698517461,1,ts
2165,0,35,5,1.5,s12,s21,e13,e21,o13,20.67,1,-5.299588684,1,ts
2165,1,30,14,5,s12,s21,e13,e21,o13,20.67,1,-5.420138079,0,ts
2166,0,10,7,1.5,s12,s21,e13,e21,o14,5.63,1,-2.425629907,1,tr
2166,1,8,15,2.75,s12,s21,e13,e21,o14,5.63,1,-2.896821845,0,tr
2167,0,8,5,1.5,s12,s23,e12,e21,o14,3.9,1,-2.011149867,1,tr
2167,1,5,17,2,s12,s23,e12,e21,o14,3.9,1,-2.017138618,0,tr
2168,0,5,4,1.5,s12,s21,e13,e23,o11,2.48,1,-1.601696715,1,tr
2168,1,4,16,2,s12,s21,e13,e23,o11,2.48,1,-1.955294049,0,tr
2169,0,9,5,1.5,s11,s22,e12,e21,o14,4.28,2,-2.137597712,1,tr
2169,1,7,15,2,s11,s22,e12,e21,o14,4.28,2,-3.568501356,0,tr
2170,0,4,5,1.5,s11,s21,e11,e22,o11,2.54,3,-1.202215772,1,tr
2170,1,4,16,2,s11,s21,e11,e22,o11,2.54,3,-1.240604801,0,tr
2171,0,23,6,1.5,s12,s21,e11,e22,o13,13.17,1,-4.015667491,0,tr
2171,1,19,14,3.5,s12,s21,e11,e22,o13,13.17,1,-2.763382923,1,tr
2172,0,26,3,1.5,s11,s21,e11,e22,o13,12.48,3,-3.028420129,0,tr
2172,1,18,13,3.5,s11,s21,e11,e22,o13,12.48,3,-1.957003462,1,tr
2173,0,16,4,1.5,s11,s21,e11,e22,o12,9.37,3,-2.330934937,0,tr
2173,1,14,17,2.75,s11,s21,e11,e22,o12,9.37,3,-2.237052918,1,tr
2174,0,4,4,1.5,s12,s21,e11,e21,o13,3.08,1,-1.160237609,0,tr
2174,1,4,17,2,s12,s21,e11,e21,o13,3.08,1,-1.081775207,1,tr
2175,0,14,5,1.5,s11,s21,e12,e21,o12,8.35,3,-2.222209142,1,tr
2175,1,12,15,2.75,s11,s21,e12,e21,o12,8.35,3,-2.4376104,0,tr
2176,0,5,5,1.5,s12,s23,e11,e21,o13,2.05,1,-1.723145549,0,tr
2176,1,3,14,2,s12,s23,e11,e21,o13,2.05,1,-0.949243951,1,tr
2177,0,16,3,1.5,s13,s21,e11,e22,o14,7.06,3,-1.940190303,0,tr
2177,1,11,14,2.75,s13,s21,e11,e22,o14,7.06,3,-1.246895112,1,tr
2178,0,19,5,1.5,s13,s21,e12,e22,o12,6.9,3,-2.572814274,1,tr
2178,1,11,15,2.75,s13,s21,e12,e22,o12,6.9,3,-2.809175726,0,tr
2179,0,15,4,1.5,s12,s23,e11,e22,o11,6.99,1,-2.399910829,0,tr
2179,1,12,11,2.75,s12,s23,e11,e22,o11,6.99,1,-1.389195571,1,tr
2180,0,6,6,1.5,s12,s21,e11,e22,o13,3.16,1,-1.877903159,0,tr
2180,1,5,16,2,s12,s21,e11,e22,o13,3.16,1,-1.211957326,1,tr
2181,0,12,4,2,s11,s22,e12,e23,o11,5.68,2,-2.237685011,1,tr
2181,1,8,13,2.75,s11,s22,e12,e23,o11,5.68,2,-3.669353932,0,tr
2182,0,10,5,1.5,s12,s21,e11,e22,o13,4.54,1,-1.913032833,0,tr
2182,1,7,17,2,s12,s21,e11,e22,o13,4.54,1,-1.647030086,1,tr
2183,0,5,5,1.5,s12,s21,e11,e22,o13,3.76,1,-1.667810588,0,tr
2183,1,5,17,2,s12,s21,e11,e22,o13,3.76,1,-1.618693112,1,tr
2184,0,12,6,1.5,s11,s21,e12,e22,o12,5.9,3,-1.943808471,0,tr
2184,1,10,10,2.75,s11,s21,e12,e22,o12,5.9,3,-1.711213131,1,tr
2185,0,6,5,2,s12,s21,e11,e22,o14,2.83,1,-1.702289586,0,tr
2185,1,4,16,2,s12,s21,e11,e22,o14,2.83,1,-0.952679916,1,tr
2186,0,18,5,1.5,s11,s21,e11,e21,o11,8.12,3,-2.528196245,0,ts
2186,1,10,14,2.75,s11,s21,e11,e21,o11,8.12,3,-1.164140275,1,ts
2187,0,8,3,1.5,s11,s21,e11,e22,o13,3.04,2,-1.614344536,1,tr
2187,1,4,14,2,s11,s21,e11,e22,o13,3.04,2,-2.41865671,0,tr
2188,0,6,5,1.5,s11,s21,e12,e23,o13,2.95,3,-1.590712151,0,tr
2188,1,5,10,2,s11,s21,e12,e23,o13,2.95,3,-1.019921506,1,tr
2189,0,42,5,1.5,s12,s21,e12,e23,o11,22.63,1,-6.029060207,0,ts
2189,1,38,15,5,s12,s21,e12,e23,o11,22.63,1,-6.013907695,1,ts
2190,0,28,5,1.5,s11,s21,e11,e22,o11,10.94,3,-3.29428904,0,ts
2190,1,17,16,3.5,s11,s21,e11,e22,o11,10.94,3,-2.609838203,1,ts
2191,0,13,6,1.5,s13,s21,e13,e22,o11,5.64,3,-2.075034316,1,tr
2191,1,8,16,2.75,s13,s21,e13,e22,o11,5.64,3,-2.853106272,0,tr
2192,0,5,5,1.5,s12,s21,e12,e22,o13,3.28,2,-2.071728912,1,tr
2192,1,5,13,2,s12,s21,e12,e22,o13,3.28,2,-2.624338879,0,tr
2193,0,32,5,1.5,s11,s21,e11,e21,o11,15.07,3,-3.995793783,0,tr
2193,1,23,14,4.25,s11,s21,e11,e21,o11,15.07,3,-2.745397923,1,tr
2194,0,12,6,1.5,s12,s21,e11,e22,o11,6.29,1,-2.623548886,0,tr
2194,1,10,15,2.75,s12,s21,e11,e22,o11,6.29,1,-1.710760111,1,tr
2195,0,16,6,1.5,s12,s21,e12,e22,o12,9.62,1,-3.011385363,0,tr
2195,1,14,13,2.75,s12,s21,e12,e22,o12,9.62,1,-2.542361673,1,tr
2196,0,11,5,2,s12,s21,e12,e22,o13,6.18,1,-2.024000936,1,tr
2196,1,10,17,2.75,s12,s21,e12,e22,o13,6.18,1,-2.845663929,0,tr
2197,0,8,5,2,s13,s21,e13,e23,o13,3.87,3,-1.468030346,1,tr
2197,1,6,15,2,s13,s21,e13,e23,o13,3.87,3,-1.937085926,0,tr
2198,0,20,4,2,s12,s23,e11,e21,o12,10.24,1,-3.299630887,0,ts
2198,1,17,16,3.5,s12,s23,e11,e21,o12,10.24,1,-3.036334209,1,ts
2199,0,15,4,1.5,s11,s21,e11,e21,o12,11.6,3,-2.205273433,1,tr
2199,1,14,16,3.5,s11,s21,e11,e21,o12,11.6,3,-2.294856011,0,tr
2200,0,5,7,1.5,s12,s21,e12,e23,o13,2.59,1,-1.562922229,0,tr
2200,1,4,13,2,s12,s21,e12,e23,o13,2.59,1,-1.094898141,1,tr
2201,0,24,6,1.5,s11,s21,e12,e21,o12,13.58,2,-3.82607823,1,tr
2201,1,21,13,3.5,s11,s21,e12,e21,o12,13.58,2,-4.501534705,0,tr
2202,0,9,6,1.5,s11,s23,e11,e21,o13,4.72,2,-2.476971348,1,tr
2202,1,6,16,2,s11,s23,e11,e21,o13,4.72,2,-3.057762889,0,tr
2203,0,6,5,1.5,s11,s21,e11,e21,o11,2.45,3,-1.366938955,0,tr
2203,1,4,13,2,s11,s21,e11,e21,o11,2.45,3,-0.728970549,1,tr
2204,0,6,6,1.5,s12,s21,e11,e22,o13,2.3,1,-1.745755622,0,tr
2204,1,3,18,2,s12,s21,e11,e22,o13,2.3,1,-1.258229424,1,tr
2205,0,11,5,1.5,s12,s23,e11,e22,o13,4.44,1,-2.285825236,0,ts
2205,1,7,12,2,s12,s23,e11,e22,o13,4.44,1,-0.896172621,1,ts
2206,0,5,6,1.5,s12,s21,e11,e22,o13,2,1,-1.432104857,0,ts
2206,1,3,12,2,s12,s21,e11,e22,o13,2,1,-0.289125294,1,ts
2207,0,7,4,2,s11,s23,e11,e22,o12,3.93,2,-1.920662003,1,ts
2207,1,6,18,2,s11,s23,e11,e22,o12,3.93,2,-3.284638326,0,ts
2208,0,14,4,1.5,s12,s21,e12,e22,o12,4.84,1,-2.551036261,1,tr
2208,1,8,18,2,s12,s21,e12,e22,o12,4.84,1,-2.608053717,0,tr
2209,0,6,5,1.5,s12,s21,e12,e23,o11,3.66,1,-1.660859004,0,tr
2209,1,5,12,2,s12,s21,e12,e23,o11,3.66,1,-1.09813511,1,tr
2210,0,21,5,2,s11,s21,e11,e21,o11,10.7,2,-3.177048959,1,tr
2210,1,16,19,3.5,s11,s21,e11,e21,o11,10.7,2,-4.774428111,0,tr
2211,0,8,5,1.5,s11,s21,e12,e21,o11,4.58,3,-1.398642033,1,tr
2211,1,7,16,2,s11,s21,e12,e21,o11,4.58,3,-2.341038486,0,tr
2212,0,6,8,1.5,s11,s21,e13,e22,o11,3.26,2,-2.665082096,1,tr
2212,1,5,15,2,s11,s21,e13,e22,o11,3.26,2,-3.655283414,0,tr
2213,0,20,5,2,s12,s21,e12,e22,o12,9.61,1,-3.246355543,0,tr
2213,1,16,13,2.75,s12,s21,e12,e22,o12,9.61,1,-3.138367834,1,tr
2214,0,21,5,2,s12,s21,e11,e22,o12,9.74,1,-3.609380373,0,tr
2214,1,14,15,2.75,s12,s21,e11,e22,o12,9.74,1,-2.261132835,1,tr
2215,0,7,4,1.5,s11,s21,e12,e21,o14,3.58,3,-1.300509996,1,tr
2215,1,5,16,2,s11,s21,e12,e21,o14,3.58,3,-2.030563003,0,tr
2216,0,7,4,1.5,s11,s21,e12,e22,o13,3.82,3,-1.122255786,1,tr
2216,1,6,16,2,s11,s21,e12,e22,o13,3.82,3,-2.183437287,0,tr
2217,0,15,6,1.5,s11,s23,e13,e22,o13,7.97,2,-3.292378642,0,tr
2217,1,12,9,2.75,s11,s23,e13,e22,o13,7.97,2,-2.821870763,1,tr
2218,0,3,5,1.5,s12,s21,e12,e22,o14,2.28,1,-1.418592262,1,ts
2218,1,4,15,2,s12,s21,e12,e22,o14,2.28,1,-1.430544858,0,ts
2219,0,28,6,1.5,s13,s23,e13,e21,o12,12.17,3,-3.745246664,0,ts
2219,1,20,12,3.5,s13,s23,e13,e21,o12,12.17,3,-3.48633333,1,ts
2220,0,15,4,1.5,s11,s21,e11,e22,o13,5.65,3,-1.942951396,0,tr
2220,1,8,13,2.75,s11,s21,e11,e22,o13,5.65,3,-1.089162817,1,tr
2221,0,8,7,1.5,s12,s22,e12,e21,o13,4.44,1,-2.165293407,0,tr
2221,1,6,13,2,s12,s22,e12,e21,o13,4.44,1,-1.964171937,1,tr
2222,0,11,4,1.5,s11,s22,e11,e23,o13,5.49,2,-2.34077805,1,ts
2222,1,7,15,2.75,s11,s22,e11,e23,o13,5.49,2,-3.05369628,0,ts
2223,0,15,4,1.5,s11,s21,e12,e22,o11,7.02,3,-2.032628454,0,ts
2223,1,10,12,2.75,s11,s21,e12,e22,o11,7.02,3,-1.793509363,1,ts
2224,0,10,5,1.5,s11,s22,e11,e22,o13,6.68,2,-2.775256624,1,tr
2224,1,10,18,2.75,s11,s22,e11,e22,o13,6.68,2,-3.854469545,0,tr
2225,0,12,4,1.5,s12,s21,e11,e21,o14,6.09,1,-2.337469579,0,tr
2225,1,9,15,2.75,s12,s21,e11,e21,o14,6.09,1,-1.52665324,1,tr
2226,0,6,5,1.5,s11,s21,e11,e22,o13,3.61,3,-1.713816405,0,tr
2226,1,6,16,2,s11,s21,e11,e22,o13,3.61,3,-1.382165312,1,tr
2227,0,9,5,2,s11,s23,e12,e22,o11,4,2,-2.479909548,1,tr
2227,1,6,14,2,s11,s23,e12,e22,o11,4,2,-3.23936538,0,tr
2228,0,6,5,1.5,s11,s23,e11,e22,o12,2.86,2,-1.944758204,1,tr
2228,1,5,15,2,s11,s23,e11,e22,o12,2.86,2,-2.366184474,0,tr
2229,0,7,5,1.5,s12,s21,e12,e22,o13,3.73,1,-1.760540403,0,tr
2229,1,6,12,2,s12,s21,e12,e22,o13,3.73,1,-1.514574169,1,tr
2230,0,5,4,1.5,s11,s21,e11,e22,o11,3.11,3,-1.190680642,0,ts
2230,1,5,15,2,s11,s21,e11,e22,o11,3.11,3,-0.909614723,1,ts
